ID,Type,Instrument,Units,Price,Time,pl
18361,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:48.799696591Z,
18362,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:51.274037011Z,
18363,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:53.260794634Z,
18364,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:55.223207919Z,
18365,ORDER_FILL,EUR_USD,-1000,1.17881,2025-09-24T06:33:57.631310797Z,0.0000
18366,TAKE_PROFIT_ORDER,N/A,N/A,1.17869,2025-09-24T06:33:57.631310797Z,
18367,STOP_LOSS_ORDER,N/A,N/A,1.17929,2025-09-24T06:33:57.631310797Z,
18368,ORDER_FILL,EUR_USD,-1000,1.17881,2025-09-24T06:33:57.631310797Z,0.0000
18369,TAKE_PROFIT_ORDER,N/A,N/A,1.17869,2025-09-24T06:33:57.631310797Z,
18370,STOP_LOSS_ORDER,N/A,N/A,1.17909,2025-09-24T06:33:57.631310797Z,
18371,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:57.773807800Z,
18372,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:33:59.859088475Z,
18373,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:02.419118116Z,
18374,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:05.014681168Z,
18375,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:07.513542103Z,
18376,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:09.391165573Z,
18377,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:11.946236760Z,
18378,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:19.386350753Z,
18379,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:21.986339493Z,
18380,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:24.018619059Z,
18381,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:36.828309313Z,
18382,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:39.259481736Z,
18383,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:41.859921401Z,
18384,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:43.898714773Z,
18385,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:45.961497980Z,
18386,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:47.935209392Z,
18387,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:50.632467913Z,
18388,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:52.579017749Z,
18389,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:54.416433570Z,
18390,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:34:56.321064632Z,
18391,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17829,2025-09-24T06:34:58.917611375Z,
18392,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17849,2025-09-24T06:34:59.308676594Z,
18393,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:01.970929694Z,
18394,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:04.582437009Z,
18395,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:06.511562862Z,
18396,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:08.500530230Z,
18397,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:10.471291393Z,
18398,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:13.058466933Z,
18399,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:15.597527549Z,
18400,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:18.077075937Z,
18401,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:19.999619475Z,
18402,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:22.483542128Z,
18403,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:24.928153191Z,
18404,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:26.862488071Z,
18405,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:28.746975248Z,
18406,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:30.616465541Z,
18407,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:33.134576843Z,
18408,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:35.010941904Z,
18409,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:36.848615353Z,
18410,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:39.428503110Z,
18411,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:41.368585814Z,
18412,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:43.440242207Z,
18413,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:45.507813623Z,
18414,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:47.350864275Z,
18415,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:49.868636963Z,
18416,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:52.301598449Z,
18417,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:54.811217788Z,
18418,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:57.435026553Z,
18419,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:35:59.575917350Z,
18420,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:01.540428397Z,
18421,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:03.569530839Z,
18422,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:06.113437923Z,
18423,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:08.655497022Z,
18424,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:11.316424241Z,
18425,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:13.196881028Z,
18426,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:15.226485058Z,
18427,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:17.205803773Z,
18428,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:19.818246834Z,
18429,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:22.442073101Z,
18430,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:24.310997796Z,
18431,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:26.196460985Z,
18432,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:28.626834251Z,
18433,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:30.545009751Z,
