"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54772","2025-09-23 23:18:12 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17059","1000.00","","","1.17079","","1.17039","","","","","","","","",""
"54773","2025-09-23 23:18:12 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17079","1000.00","","","1.17099","","1.17059","","","","","","","","",""
"54774","2025-09-23 23:18:13 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17099","1000.00","","","1.17119","","1.17079","","","","","","","","",""
"54775","2025-09-23 23:18:13 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17119","1000.00","","","1.17139","","1.17099","","","","","","","","",""
"54776","2025-09-23 23:18:13 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17139","1000.00","","","1.17159","","1.17119","","","","","","","","",""
"54777","2025-09-23 23:18:14 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17159","1000.00","","","1.17179","","1.17139","","","","","","","","",""
"54778","2025-09-23 23:18:14 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17179","1000.00","","","1.17199","","1.17159","","","","","","","","",""
"54779","2025-09-23 23:18:14 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17199","1000.00","","","1.17219","","1.17179","","","","","","","","",""
"54780","2025-09-23 23:18:15 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17219","1000.00","","","1.17239","","1.17199","","","","","","","","",""
"54781","2025-09-23 23:18:15 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17239","1000.00","","","1.17259","","1.17219","","","","","","","","",""
"54782","2025-09-23 23:18:15 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17259","1000.00","","","1.17279","","1.17239","","","","","","","","",""
"54783","2025-09-23 23:18:16 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17279","1000.00","","","1.17299","","1.17259","","","","","","","","",""
"54784","2025-09-23 23:18:16 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17299","1000.00","","","1.17319","","1.17279","","","","","","","","",""
"54785","2025-09-23 23:18:17 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17319","1000.00","","","1.17339","","1.17299","","","","","","","","",""
"54786","2025-09-23 23:18:17 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17339","1000.00","","","1.17359","","1.17319","","","","","","","","",""
"54787","2025-09-23 23:18:17 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17359","1000.00","","","1.17379","","1.17339","","","","","","","","",""
"54788","2025-09-23 23:18:18 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17379","1000.00","","","1.17399","","1.17359","","","","","","","","",""
